date,time,temp,az,windspeed,visibility,percipitation
02-12-2019,3,6.5,0,0,7,0
02-12-2019,0,8,225,2,7,0
01-12-2019,21,9.8,315,2,7,0
01-12-2019,18,12.4,112.5,2,7,0
01-12-2019,15,15.5,247.5,2,6,0
01-12-2019,12,14.4,0,0,6,0
01-12-2019,9,10.2,247.5,2,5,0
01-12-2019,6,6.2,0,0,10,0
01-12-2019,3,7.8,0,0,10,0
01-12-2019,0,9.4,0,2,10,0
30-11-2019,21,10,270,3,10,0
30-11-2019,18,12,247.5,4,10,0
30-11-2019,15,14.9,270,9,11,0
30-11-2019,12,14.8,270,9,3,0
30-11-2019,9,10.1,0,0,3,0
30-11-2019,6,7.6,0,0,3.5,0
30-11-2019,3,7.4,0,0,3,0
30-11-2019,0,7.4,0,0,3.5,0
29-11-2019,21,8.6,270,2,3.5,0
29-11-2019,18,10.9,0,0,4,0
29-11-2019,15,13.6,225,4,5,0
29-11-2019,12,12.3,180,2,2.5,0
29-11-2019,9,9.9,157.5,2,2,0
29-11-2019,6,7,292.5,3,3.5,0.125
29-11-2019,3,7.1,0,0,4,0.25
29-11-2019,0,8.4,0,0,3,0.125
28-11-2019,21,8,157.5,2,2.5,0
28-11-2019,18,9.2,180,4,2,0
28-11-2019,15,11,202.5,3,1.7,0
28-11-2019,12,10.3,0,0,1.8,0
28-11-2019,9,7.6,0,0,1.8,0
28-11-2019,6,4.6,0,0,1.5,0
28-11-2019,3,6,0,0,1.5,0
28-11-2019,0,6,292.5,2,1.5,0
27-11-2019,21,6.6,247.5,2,2.5,0
27-11-2019,18,7.4,157.5,3,2,0
27-11-2019,15,9.7,135,2,2,0
27-11-2019,12,9.2,157.5,2,2,0
27-11-2019,9,5.2,270,2,1.5,0
27-11-2019,6,3.3,0,0,4,0
27-11-2019,3,3.6,0,0,4,0
27-11-2019,0,4,247.5,2,5,0
26-11-2019,21,5.4,0,0,6,0
26-11-2019,18,7,180,2,5,0
26-11-2019,15,9.4,202.5,2,7,0
26-11-2019,12,8.2,202.5,4,5,0
26-11-2019,9,7,0,0,4,0
26-11-2019,6,2.4,292.5,2,5,0
26-11-2019,3,3,0,0,6,0
26-11-2019,0,4.5,202.5,2,5,0
25-11-2019,21,5.8,270,2,7,0
25-11-2019,18,6.9,202.5,2,7,0
25-11-2019,15,8.2,270,2,6,0
25-11-2019,12,6.8,202.5,2,5,0
25-11-2019,9,4.7,225,3,3,0
25-11-2019,6,4,0,0,6,0
25-11-2019,3,4.5,0,0,6,0
25-11-2019,0,4.6,0,0,5,0
24-11-2019,21,4.8,0,0,6,0
24-11-2019,18,5.8,180,3,5,0
24-11-2019,15,7.3,202.5,4,5,0
24-11-2019,12,7,225,4,5,0
24-11-2019,9,4.1,157.5,4,4,0
24-11-2019,6,3.5,337.5,2,8,0
24-11-2019,3,2.4,292.5,2,8,0
24-11-2019,0,2.7,247.5,2,8,0
23-11-2019,21,4,247.5,2,8,0
23-11-2019,18,5.8,270,2,7,0
23-11-2019,15,8.6,270,4,6,0
23-11-2019,12,7.8,247.5,5,5,0
23-11-2019,9,5.7,247.5,2,4,0
23-11-2019,6,2.6,292.5,2,7,0
23-11-2019,3,3.1,292.5,3,5,0
23-11-2019,0,5.5,292.5,2,4,0
22-11-2019,21,4.9,315,2,5,0
22-11-2019,18,6.2,0,0,7,0
22-11-2019,15,8.2,225,2,5,0
22-11-2019,12,7.3,157.5,3,4,0
22-11-2019,9,5.6,157.5,3,4,0
22-11-2019,6,2.9,0,0,6,0
22-11-2019,3,3.1,0,0,10,0
22-11-2019,0,4.8,0,2,10,0
21-11-2019,21,5.6,0,0,10,0
21-11-2019,18,7.7,315,2,10,0
21-11-2019,15,11,247.5,4,10,0
21-11-2019,12,10.3,247.5,4,5,0
21-11-2019,9,5.5,247.5,2,4,0
21-11-2019,6,2.7,90,2,5,0
21-11-2019,3,2.3,315,2,5,0
20-11-2019,18,4.1,0,0,10,0
20-11-2019,15,6.3,270,3,5,0
20-11-2019,12,5.7,270,4,4,1
20-11-2019,9,4.8,270,4,6,2
20-11-2019,6,3.6,337.5,3,7,3.75
20-11-2019,3,1.8,270,2,3,5.5
20-11-2019,0,2.4,292.5,4,2,3.5
19-11-2019,21,4.2,202.5,2,3,1.5
19-11-2019,18,5.9,292.5,4,6,0.75
19-11-2019,15,7.7,270,3,9,0
19-11-2019,12,8.7,180,4,10,0
19-11-2019,9,5.8,270,3,10,0
19-11-2019,6,4.7,292.5,2,4,0.2
19-11-2019,3,4.5,292.5,2,1.8,0.4
19-11-2019,0,4.3,270,3,2.5,0.3
18-11-2019,21,4.1,225,3,2,0.2
18-11-2019,18,4.1,247.5,2,2.5,0.25
18-11-2019,15,4,247.5,2,2.5,0.3
18-11-2019,12,3.5,247.5,3,2.5,0.9
