date,hour,pollution
1398/09/24,16,138
1398/09/24,17,127
1398/09/24,18,127
1398/09/24,19,104
1398/09/24,20,92
1398/09/24,21,89
1398/09/24,22,87
1398/09/24,23,86
1398/09/25,0,83
1398/09/25,1,81
1398/09/25,2,86
1398/09/25,3,94
1398/09/25,4,108
1398/09/25,5,100
1398/09/25,6,87
1398/09/25,7,84
1398/09/25,8,86
1398/09/25,9,77
1398/09/25,10,79
1398/09/25,11,88
1398/09/25,12,122
1398/09/25,13,123
1398/09/25,14,110
1398/09/25,15,114
1398/09/25,16,113
1398/09/25,17,118
1398/09/25,18,106
1398/09/25,19,103
1398/09/25,20,97
1398/09/25,21,168
1398/09/25,22,141
1398/09/25,23,120
1398/09/26,0,132
1398/09/26,1,141
1398/09/26,2,90
1398/09/26,3,89
1398/09/26,4,70
1398/09/26,5,33
1398/09/26,6,31
1398/09/26,7,41
1398/09/26,8,34
1398/09/26,9,15
1398/09/26,10,16
1398/09/26,11,18
1398/09/26,12,20
1398/09/26,13,29
1398/09/26,14,36
1398/09/26,15,32
1398/09/26,16,41
1398/09/26,17,40
1398/09/26,18,38
1398/09/26,19,37
1398/09/26,20,25
1398/09/26,21,22
1398/09/26,22,24
1398/09/26,23,27
