date,hour,pollution
1398/08/13,2,27
1398/08/13,3,33
1398/08/13,4,30
1398/08/13,5,24
1398/08/13,6,35
1398/08/13,7,21
1398/08/13,8,23
1398/08/13,9,26
1398/08/13,10,26
1398/08/13,11,12
1398/08/13,12,20
1398/08/13,13,18
1398/08/13,14,25
1398/08/13,15,30
1398/08/13,16,28
1398/08/13,17,33
1398/08/13,18,30
1398/08/13,19,25
1398/08/13,20,22
1398/08/13,21,16
1398/08/13,22,21
1398/08/13,23,20
1398/08/14,0,26
1398/08/14,1,32
1398/08/14,2,61
1398/08/14,3,52
1398/08/14,4,48
1398/08/14,5,35
1398/08/14,6,30
1398/08/14,7,38
1398/08/14,8,41
1398/08/14,9,45
1398/08/14,10,53
1398/08/14,11,54
1398/08/14,12,47
1398/08/14,13,59
1398/08/14,14,86
1398/08/14,15,66
1398/08/14,16,42
1398/08/14,17,41
1398/08/14,18,38
1398/08/14,19,41
1398/08/14,20,44
1398/08/14,21,50
1398/08/14,22,46
1398/08/14,23,55
1398/08/15,0,51
1398/08/15,1,64
1398/08/15,2,69
1398/08/15,3,73
1398/08/15,4,68
1398/08/15,5,66
1398/08/15,6,69
1398/08/15,7,68
1398/08/15,8,69
1398/08/15,9,52
1398/08/15,10,64
1398/08/15,11,50
1398/08/15,12,50
1398/08/15,13,48
1398/08/15,14,48
1398/08/15,15,45
1398/08/15,16,50
1398/08/15,17,48
1398/08/15,18,48
1398/08/15,19,44
1398/08/15,20,38
1398/08/15,21,38
1398/08/15,22,33
1398/08/15,23,44
1398/08/16,0,34
1398/08/16,1,66
1398/08/16,2,73
1398/08/16,3,74
1398/08/16,4,74
1398/08/16,5,80
1398/08/16,6,77
1398/08/16,7,90
1398/08/16,8,77
1398/08/16,9,75
1398/08/16,10,61
1398/08/16,11,51
1398/08/16,12,42
1398/08/16,13,44
1398/08/16,14,51
1398/08/16,15,71
1398/08/16,16,50
1398/08/16,17,41
1398/08/16,18,44
1398/08/16,19,48
1398/08/16,20,58
1398/08/16,21,55
1398/08/16,22,41
1398/08/16,23,40
1398/08/17,0,43
1398/08/17,1,62
1398/08/17,2,76
1398/08/17,3,76
1398/08/17,4,80
1398/08/17,5,74
1398/08/17,6,78
1398/08/17,7,80
1398/08/17,8,73
1398/08/17,9,46
1398/08/17,10,49
1398/08/17,11,38
1398/08/17,12,79
1398/08/17,13,52
1398/08/17,14,48
1398/08/17,15,38
1398/08/17,16,39
1398/08/17,17,37
1398/08/17,18,39
1398/08/17,19,47
1398/08/17,20,38
1398/08/17,21,40
1398/08/17,22,44
1398/08/17,23,51
1398/08/18,0,77
1398/08/18,1,68
1398/08/18,2,63
1398/08/18,3,59
1398/08/18,4,66
1398/08/18,5,51
1398/08/18,6,47
1398/08/18,7,51
1398/08/18,8,66
1398/08/18,9,62
1398/08/18,10,47
1398/08/18,11,45
1398/08/18,12,68
1398/08/18,13,38
1398/08/18,14,24
1398/08/18,15,28
1398/08/18,16,27
1398/08/18,17,25
1398/08/18,18,40
1398/08/18,19,45
1398/08/18,20,48
1398/08/18,21,42
1398/08/18,22,47
1398/08/18,23,49
1398/08/19,0,53
1398/08/19,1,63
1398/08/19,2,
1398/08/19,3,49
1398/08/19,4,46
1398/08/19,5,42
1398/08/19,6,37
1398/08/19,7,40
1398/08/19,8,43
1398/08/19,9,47
1398/08/19,10,41
1398/08/19,11,37
1398/08/19,12,53
1398/08/19,13,58
1398/08/19,14,47
1398/08/19,15,42
1398/08/19,16,41
1398/08/19,17,37
1398/08/19,18,39
1398/08/19,19,42
1398/08/19,20,44
1398/08/19,21,50
1398/08/19,22,63
1398/08/19,23,57
1398/08/20,0,75
1398/08/20,1,78
1398/08/20,2,80
1398/08/20,3,64
1398/08/20,4,58
1398/08/20,5,53
1398/08/20,6,48
1398/08/20,7,56
1398/08/20,8,68
1398/08/20,9,56
1398/08/20,10,58
1398/08/20,11,64
1398/08/20,12,65
